"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2022","1,295.87","1,311.80","1,317.41","1,287.08","293.77K","-1.21%"
"Sep 25, 2022","1,311.80","1,317.01","1,399.67","1,261.29","6.27M","-0.40%"
"Sep 18, 2022","1,317.00","1,468.76","1,469.21","1,222.29","7.60M","-10.33%"
"Sep 11, 2022","1,468.79","1,774.38","1,786.73","1,409.65","6.64M","-17.22%"
"Sep 04, 2022","1,774.38","1,557.35","1,788.10","1,493.19","5.79M","13.92%"
"Aug 28, 2022","1,557.55","1,490.88","1,647.50","1,424.33","6.68M","4.48%"
"Aug 21, 2022","1,490.83","1,575.61","1,720.84","1,449.31","7.14M","-5.38%"
"Aug 14, 2022","1,575.60","1,983.52","2,028.40","1,525.51","7.40M","-20.57%"
"Aug 07, 2022","1,983.50","1,690.29","2,018.97","1,657.78","6.96M","17.35%"
"Jul 31, 2022","1,690.27","1,695.99","1,752.94","1,560.17","7.25M","-0.34%"
"Jul 24, 2022","1,695.97","1,549.61","1,781.39","1,357.70","10.80M","9.45%"
"Jul 17, 2022","1,549.61","1,356.00","1,644.99","1,323.23","12.01M","14.27%"
"Jul 10, 2022","1,356.08","1,216.94","1,399.16","1,012.29","11.73M","11.43%"
"Jul 03, 2022","1,216.94","1,066.60","1,275.69","1,041.82","9.17M","14.10%"
"Jun 26, 2022","1,066.60","1,241.80","1,276.81","1,000.77","10.28M","-14.11%"
"Jun 19, 2022","1,241.76","995.49","1,255.55","938.24","12.50M","24.72%"
"Jun 12, 2022","995.61","1,531.50","1,542.01","883.35","17.72M","-34.99%"
"Jun 05, 2022","1,531.42","1,804.60","1,919.40","1,503.15","6.92M","-15.13%"
"May 29, 2022","1,804.37","1,792.25","2,015.02","1,740.83","6.55M","0.65%"
"May 22, 2022","1,792.68","1,975.12","2,086.21","1,708.62","6.88M","-9.24%"
"May 15, 2022","1,975.12","2,056.33","2,161.78","1,903.67","5.27M","-3.95%"
"May 08, 2022","2,056.30","2,636.03","2,641.84","1,796.24","12.96M","-21.99%"
"May 01, 2022","2,636.03","2,727.20","2,963.54","2,589.29","4.88M","-3.34%"
"Apr 24, 2022","2,727.18","2,931.90","3,032.70","2,716.31","4.36M","-6.98%"
"Apr 17, 2022","2,931.90","3,058.96","3,176.69","2,887.25","3.67M","-4.15%"
"Apr 10, 2022","3,058.96","3,259.59","3,306.14","2,951.80","3.72M","-6.15%"
"Apr 03, 2022","3,259.35","3,442.34","3,579.82","3,143.96","4.36M","-5.32%"
"Mar 27, 2022","3,442.34","3,145.95","3,529.63","3,126.46","3.92M","9.42%"
"Mar 20, 2022","3,146.01","2,950.03","3,192.73","2,819.27","4.08M","6.65%"
"Mar 13, 2022","2,949.92","2,569.80","2,984.00","2,494.59","8.97B","14.79%"
"Mar 06, 2022","2,569.80","2,665.42","2,772.09","2,447.74","9.41B","-3.59%"
"Feb 27, 2022","2,665.42","2,779.55","3,041.84","2,562.94","2.81B","-4.02%"
"Feb 20, 2022","2,776.96","2,763.97","2,856.01","2,303.07","6.53M","0.48%"
"Feb 13, 2022","2,763.81","2,917.16","3,193.18","2,699.70","3.63M","-5.25%"
"Feb 06, 2022","2,917.10","3,013.75","3,277.36","2,858.85","3.93M","-3.21%"
"Jan 30, 2022","3,013.81","2,600.12","3,058.88","2,478.85","4.51M","15.91%"
"Jan 23, 2022","2,600.02","2,412.52","2,719.32","2,161.55","6.08M","7.77%"
"Jan 16, 2022","2,412.52","3,326.50","3,388.22","2,311.80","4.86M","-27.50%"
"Jan 09, 2022","3,327.74","3,079.89","3,407.98","2,931.68","3.54M","8.04%"
"Jan 02, 2022","3,080.02","3,765.67","3,889.07","3,001.76","4.24M","-18.21%"
"Dec 26, 2021","3,765.67","4,093.38","4,125.22","3,589.64","2.74M","-8.00%"
"Dec 19, 2021","4,093.14","3,959.90","4,149.17","3,757.42","3.17M","3.37%"
"Dec 12, 2021","3,959.83","4,078.17","4,173.21","3,649.69","4.52M","-2.84%"
"Dec 05, 2021","4,075.66","4,118.27","4,482.89","3,836.92","5.12M","-1.16%"
"Nov 28, 2021","4,123.46","4,095.16","4,778.14","3,533.02","5.20M","0.70%"
"Nov 21, 2021","4,094.80","4,409.02","4,549.74","3,917.43","5.03M","-7.12%"
"Nov 14, 2021","4,408.85","4,644.40","4,769.38","3,958.44","4.53M","-5.08%"
"Nov 07, 2021","4,644.61","4,517.27","4,864.06","4,498.78","3.86M","2.82%"
"Oct 31, 2021","4,517.36","4,322.00","4,661.88","4,157.51","3.71M","4.55%"
"Oct 24, 2021","4,320.65","4,168.80","4,458.30","3,896.33","4.93M","3.64%"
